Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,79924,TX,El Paso,El Paso County,El Paso,512,901,0.003340757,0.016930023,0.011223345,17236
2/28/19,78664,TX,Austin-Round Rock,Williamson County,Round Rock,513,1525,0.001971091,0.01127321,0.018704075,15382
2/28/19,45013,OH,Cincinnati,Butler County,Hamilton,514,1192,0.005907173,0.035621199,0.045614035,18460
2/28/19,67401,KS,Salina,Saline County,Salina,515,850,-0.001175088,-0.020737327,-0.003516999,18307
2/28/19,70072,LA,New Orleans-Metairie,Jefferson Parish,Marrero,516,1293,0.005443235,0.024564184,0.051219512,17792
2/28/19,85008,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,517,1286,0.003903201,0.04723127,0.07345576,10881
2/28/19,19104,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,518,1262,0.002382844,0,0.012841091,8544
2/28/19,92105,CA,San Diego-Carlsbad,San Diego County,San Diego,519,2272,0.005309735,0.027589326,0.053314789,11491
2/28/19,30101,GA,Atlanta-Sandy Springs-Roswell,Cobb County,Acworth,520,1540,0.001951854,0.01650165,0.023255814,20159
2/28/19,47150,IN,Louisville/Jefferson County,Floyd County,New Albany,521,1046,-0.00095511,0.00965251,0.008678881,18599
2/28/19,89103,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,522,1138,0.006189213,0.026149684,0.066541706,14836
2/28/19,94080,CA,San Francisco-Oakland-Hayward,San Mateo County,South San Francisco,523,3792,0.000527704,0.031836735,0.055973266,17170
2/28/19,33433,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,Boca Raton,524,2189,0.00412844,0.030602637,0.020037279,19403
2/28/19,12180,NY,Albany-Schenectady-Troy,Rensselaer County,Troy,525,1341,0.000746269,0.048475371,0.045206547,12808
2/28/19,14094,NY,Buffalo-Cheektowaga-Niagara Falls,Niagara County,Lockport,526,1150,-0.013722127,-0.051937345,0.098376313,15435
2/28/19,32825,FL,Orlando-Kissimmee-Sanford,Orange County,Orlando,527,1575,0.007033248,0.036184211,0.089211618,17494
2/28/19,41042,KY,Cincinnati,Boone County,Florence,528,1307,-0.005327245,-0.02023988,0.008487654,16728
2/28/19,92122,CA,San Diego-Carlsbad,San Diego County,San Diego,529,2860,0.003508772,0.029888369,0.019607843,11144
2/28/19,20910,MD,Washington-Arlington-Alexandria,Montgomery County,Silver Spring,530,2440,-0.000409668,0.000820345,-0.019292605,9898
2/28/19,27265,NC,Greensboro-High Point,Guilford County,High Point,531,1238,0.003241491,0.024834437,0.039462636,19319
2/28/19,75070,TX,Dallas-Fort Worth-Arlington,Collin County,McKinney,532,1944,0.002061856,0.017268446,0.023157895,29022
2/28/19,53704,WI,Madison,Dane County,Madison,533,1440,0.006289308,0.028571429,0.039711191,16289
2/28/19,23455,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,Virginia Beach,534,1600,0.001251564,0.008191556,0.015873016,18321
2/28/19,78753,TX,Austin-Round Rock,Travis County,Austin,535,1570,0.00127551,0.012250161,0.014211886,8402
2/28/19,83646,ID,Boise City,Ada County,Meridian,536,1495,0.001339585,0.017699115,0.026080988,18845
2/28/19,30047,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Lilburn,537,1523,0.005280528,0.028359217,0.046016484,19708
2/28/19,98208,WA,Seattle-Tacoma-Bellevue,Snohomish County,Seattle Hill-Silver Firs,538,2201,0.001820665,0.017568192,0.027544351,16226
2/28/19,84404,UT,Ogden-Clearfield,Weber County,Ogden,539,1294,0.007003891,0.029435163,0.063270337,17188
2/28/19,30083,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,Stone Mountain,540,1177,0.005982906,0.033362599,0.052772809,14283
2/28/19,32303,FL,Tallahassee,Leon County,Tallahassee,541,1142,-0.000874891,-0.002620087,0.02513465,16230
2/28/19,33015,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Country Club,542,1806,0.003333333,0.024390244,0.011764706,20377
2/28/19,92648,CA,Los Angeles-Long Beach-Anaheim,Orange County,Huntington Beach,543,3437,-0.001742666,0.01416347,0.015661939,14748
2/28/19,95112,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,544,3252,-0.000614628,0.004323657,0.0124533,9350
2/28/19,48439,MI,Flint,Genesee County,Grand Blanc,545,1341,-0.000745156,0.0728,0.111940299,17440
2/28/19,8759,NJ,New York-Newark-Jersey City,Ocean County,Manchester,546,1500,0,-0.002659574,0.003344482,15615
2/28/19,95648,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Lincoln,547,2161,0.004182156,0.013127051,0.03199618,19097
2/28/19,53711,WI,Madison,Dane County,Madison,548,1690,0.002967359,0.009557945,0.025485437,15599
2/28/19,94112,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,549,3930,0.00255102,0.022904737,0.020514152,18129
2/28/19,77070,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,550,1639,0,0.006138735,0.026942356,12566
2/28/19,39759,MS,Starkville,Oktibbeha County,Starkville,551,1218,-0.005714286,-0.009756098,-0.033333333,9162
2/28/19,7047,NJ,New York-Newark-Jersey City,Hudson County,North Bergen,552,2137,-0.001401869,0.010401891,-0.040843806,12730
2/28/19,85383,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Peoria,553,1950,0.002570694,0.002055498,0.018808777,17804
2/28/19,78759,TX,Austin-Round Rock,Travis County,Austin,554,2161,0.003249768,0.022716517,0.026115859,11492
2/28/19,33463,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,Greenacres,555,1669,0.004211793,0.028976572,0.028976572,19389
2/28/19,10014,NY,New York-Newark-Jersey City,New York County,New York,556,4461,0.005862458,0.072871573,0.041802896,14833
